Region,Date,Frequency,Estimated Unemployment Rate (%),Estimated Employed,Estimated Labour Participation Rate (%),Area,Month,Month_num,Month_name,Year_num
Andhra Pradesh,2019-05-31, Monthly,3.65,11999139.0,43.24,Rural,5,5,May,2019
Andhra Pradesh,2019-06-30, Monthly,3.05,11755881.0,42.05,Rural,6,6,Jun,2019
Andhra Pradesh,2019-07-31, Monthly,3.75,12086707.0,43.5,Rural,7,7,Jul,2019
Andhra Pradesh,2019-08-31, Monthly,3.32,12285693.0,43.97,Rural,8,8,Aug,2019
Andhra Pradesh,2019-09-30, Monthly,5.17,12256762.0,44.68,Rural,9,9,Sep,2019
Andhra Pradesh,2019-10-31, Monthly,3.52,12017412.0,43.01,Rural,10,10,Oct,2019
Andhra Pradesh,2019-11-30, Monthly,4.12,11397681.0,41.0,Rural,11,11,Nov,2019
Andhra Pradesh,2019-12-31, Monthly,4.38,12528395.0,45.14,Rural,12,12,Dec,2019
Andhra Pradesh,2020-01-31, Monthly,4.84,12016676.0,43.46,Rural,1,1,Jan,2020
Andhra Pradesh,2020-02-29, Monthly,5.91,11723617.0,42.83,Rural,2,2,Feb,2020
Andhra Pradesh,2020-03-31, Monthly,4.06,11359660.0,40.66,Rural,3,3,Mar,2020
Andhra Pradesh,2020-04-30, Monthly,16.29,8792827.0,36.03,Rural,4,4,Apr,2020
Andhra Pradesh,2020-05-31, Monthly,14.46,9526902.0,38.16,Rural,5,5,May,2020
Andhra Pradesh,2020-06-30, Monthly,0.85,15572975.0,53.76,Rural,6,6,Jun,2020
Assam,2019-05-31, Monthly,4.29,11749334.0,57.39,Rural,5,5,May,2019
Assam,2019-06-30, Monthly,5.08,8923222.0,43.87,Rural,6,6,Jun,2019
Assam,2019-07-31, Monthly,4.26,9911534.0,48.21,Rural,7,7,Jul,2019
Assam,2019-08-31, Monthly,5.79,9292039.0,45.83,Rural,8,8,Aug,2019
Assam,2019-09-30, Monthly,4.46,11468349.0,55.67,Rural,9,9,Sep,2019
Assam,2019-10-31, Monthly,4.65,8395906.0,40.76,Rural,10,10,Oct,2019
Assam,2019-11-30, Monthly,4.66,9625362.0,46.64,Rural,11,11,Nov,2019
Assam,2020-01-31, Monthly,4.29,11420996.0,54.9,Rural,1,1,Jan,2020
Assam,2020-02-29, Monthly,3.26,8462814.0,40.17,Rural,2,2,Feb,2020
Assam,2020-03-31, Monthly,3.77,9878742.0,47.05,Rural,3,3,Mar,2020
Assam,2020-05-31, Monthly,9.38,9926176.0,50.0,Rural,5,5,May,2020
Assam,2020-06-30, Monthly,0.0,7544937.0,34.38,Rural,6,6,Jun,2020
Bihar,2019-05-31, Monthly,9.27,24322330.0,39.75,Rural,5,5,May,2019
Bihar,2019-06-30, Monthly,10.2,24097712.0,39.71,Rural,6,6,Jun,2019
Bihar,2019-07-31, Monthly,13.44,23248875.0,39.66,Rural,7,7,Jul,2019
Bihar,2019-08-31, Monthly,11.0,22260203.0,36.85,Rural,8,8,Aug,2019
Bihar,2019-09-30, Monthly,8.87,23905700.0,38.57,Rural,9,9,Sep,2019
Bihar,2019-10-31, Monthly,12.47,24053140.0,40.31,Rural,10,10,Oct,2019
Bihar,2019-11-30, Monthly,12.4,22445989.0,37.51,Rural,11,11,Nov,2019
Bihar,2019-12-31, Monthly,10.16,22914530.0,37.25,Rural,12,12,Dec,2019
Bihar,2020-01-31, Monthly,9.13,23409006.0,37.54,Rural,1,1,Jan,2020
Bihar,2020-02-29, Monthly,9.61,23168192.0,37.28,Rural,2,2,Feb,2020
Bihar,2020-03-31, Monthly,15.39,22667882.0,38.88,Rural,3,3,Mar,2020
Bihar,2020-04-30, Monthly,45.09,14645275.0,38.63,Rural,4,4,Apr,2020
Bihar,2020-05-31, Monthly,47.26,14050319.0,38.5,Rural,5,5,May,2020
Bihar,2020-06-30, Monthly,20.49,20622566.0,37.4,Rural,6,6,Jun,2020
Chhattisgarh,2019-05-31, Monthly,9.82,6259019.0,42.89,Rural,5,5,May,2019
Chhattisgarh,2019-06-30, Monthly,6.76,6608626.0,43.71,Rural,6,6,Jun,2019
Chhattisgarh,2019-07-31, Monthly,4.54,6753622.0,43.53,Rural,7,7,Jul,2019
Chhattisgarh,2019-08-31, Monthly,4.64,6607694.0,42.55,Rural,8,8,Aug,2019
Chhattisgarh,2019-09-30, Monthly,8.33,6490776.0,43.38,Rural,9,9,Sep,2019
Chhattisgarh,2019-10-31, Monthly,6.96,7043840.0,46.28,Rural,10,10,Oct,2019
Chhattisgarh,2019-11-30, Monthly,2.77,6942931.0,43.56,Rural,11,11,Nov,2019
Chhattisgarh,2019-12-31, Monthly,6.11,6569385.0,42.59,Rural,12,12,Dec,2019
Chhattisgarh,2020-01-31, Monthly,9.89,6236201.0,42.03,Rural,1,1,Jan,2020
Chhattisgarh,2020-02-29, Monthly,7.89,6847173.0,45.05,Rural,2,2,Feb,2020
Chhattisgarh,2020-03-31, Monthly,7.31,6894808.0,44.98,Rural,3,3,Mar,2020
Chhattisgarh,2020-04-30, Monthly,0.0,6534321.0,39.43,Rural,4,4,Apr,2020
Chhattisgarh,2020-05-31, Monthly,7.64,5454091.0,35.56,Rural,5,5,May,2020
Chhattisgarh,2020-06-30, Monthly,10.14,5781095.0,38.66,Rural,6,6,Jun,2020
Delhi,2019-05-31, Monthly,12.56,169487.0,42.33,Rural,5,5,May,2019
Delhi,2019-06-30, Monthly,9.33,149076.0,35.74,Rural,6,6,Jun,2019
Delhi,2019-07-31, Monthly,11.07,166605.0,40.53,Rural,7,7,Jul,2019
Delhi,2019-08-31, Monthly,17.18,135407.0,35.21,Rural,8,8,Aug,2019
Delhi,2019-09-30, Monthly,12.5,166056.0,40.68,Rural,9,9,Sep,2019
Delhi,2019-10-31, Monthly,15.84,149511.0,37.9,Rural,10,10,Oct,2019
Delhi,2019-11-30, Monthly,11.11,178768.0,42.71,Rural,11,11,Nov,2019
Delhi,2019-12-31, Monthly,16.97,145671.0,37.08,Rural,12,12,Dec,2019
Delhi,2020-01-31, Monthly,13.48,157791.0,38.36,Rural,1,1,Jan,2020
Delhi,2020-02-29, Monthly,13.81,147500.0,35.84,Rural,2,2,Feb,2020
Delhi,2020-03-31, Monthly,15.18,152413.0,37.45,Rural,3,3,Mar,2020
Delhi,2020-04-30, Monthly,20.69,115487.0,30.21,Rural,4,4,Apr,2020
Delhi,2020-05-31, Monthly,22.76,129610.0,34.65,Rural,5,5,May,2020
Delhi,2020-06-30, Monthly,21.14,112108.0,29.22,Rural,6,6,Jun,2020
Goa,2019-05-31, Monthly,2.91,179340.0,39.16,Rural,5,5,May,2019
Goa,2019-06-30, Monthly,5.45,170471.0,38.19,Rural,6,6,Jun,2019
